iter	MAE
0	0.7648858944
1	0.744747161
2	0.7247663458
3	0.7065658068
4	0.6894293783
5	0.6732484588
6	0.6574374485
7	0.6429475789
8	0.6288989007
9	0.6153761334
10	0.6028295149
11	0.5905626209
12	0.5786419451
13	0.5674705734
14	0.5575687496
15	0.5478086151
16	0.5384235424
17	0.5295209045
18	0.5216911162
19	0.5137511888
20	0.5061393803
21	0.4986674555
22	0.4918390103
23	0.485532904
24	0.4794854278
25	0.4736936695
26	0.4681984159
27	0.4636367912
28	0.4588931487
29	0.4541023532
30	0.4496524833
31	0.4459529098
32	0.4420363469
33	0.4385321661
34	0.4350012404
35	0.432043287
36	0.4289137285
37	0.4260215304
38	0.4232137695
39	0.4204987141
40	0.4178905437
41	0.4159446657
42	0.4135790776
43	0.4114491422
44	0.4094607563
45	0.4077046964
46	0.4059295969
47	0.4041072414
48	0.4026823234
49	0.4011136935
50	0.3994942946
51	0.3983724049
52	0.3971168186
53	0.3957299015
54	0.3945134239
55	0.3934695043
56	0.3925088949
57	0.3913465637
58	0.390285251
59	0.3894241926
60	0.3884488435
61	0.3875215177
62	0.3867195997
63	0.3859411768
64	0.3851447609
65	0.384492537
66	0.3837711632
67	0.3830612371
68	0.3824004756
69	0.3818009346
70	0.3812179548
71	0.3806775193
72	0.3801209703
73	0.379637699
74	0.3790256442
75	0.3785230577
76	0.3780270785
77	0.3776365236
78	0.3771899033
79	0.3767522064
80	0.3763632576
81	0.37590871
82	0.3755013334
83	0.3751663193
84	0.3748568355
85	0.3744900619
86	0.3741470848
87	0.3738357627
88	0.3735658526
89	0.3733031176
90	0.3730220616
91	0.3727876672
92	0.3725397955
93	0.3723297969
94	0.372077529
95	0.3718386385
96	0.371591381
97	0.3713187616
98	0.3710896789
99	0.3708581447
100	0.3706189394
101	0.3703984066
102	0.3702017225
103	0.370000097
104	0.3697966538
105	0.3696309785
106	0.369493456
107	0.3692820807
108	0.3691053721
109	0.3689292085
110	0.368766757
111	0.3686330397
112	0.3685244427
113	0.3684061336
114	0.3682643279
115	0.3680775008
116	0.3679334023
117	0.3677754307
118	0.3676063388
119	0.3674194492
120	0.367281721
121	0.3671566308
122	0.3669627992
123	0.3668559342
124	0.3667303735
125	0.3665397568
126	0.3663601752
127	0.3662137203
128	0.3660466519
129	0.3659384475
130	0.3657947762
131	0.3656506739
132	0.3655443127
133	0.3653745628
134	0.3651895739
135	0.36508139
136	0.364959988
137	0.3647890704
138	0.3646400518
139	0.3644527837
140	0.3642777688
141	0.3641380307
142	0.3640153369
143	0.3638755258
144	0.3636856673
145	0.3635670347
146	0.3634394224
147	0.3633546062
148	0.3632764846
149	0.3631823544
150	0.3630800982
151	0.3630121956
152	0.3629183204
153	0.3627729637
154	0.3626612366
155	0.3625031553
156	0.3624328694
157	0.3623355139
